,LOC_NM,LATITUDE,LONGITUDE,관광_지하철,관광_숙박,관광_식음
169,부산어린이대공원,35.184998,129.04153,0,26,56
170,삼광사,35.175694,129.04338,0,26,82
171,성지곡수원지,35.187065,129.04105,0,26,46
172,송상현광장,35.166397,129.06595,4,49,106
173,APEC나루공원,35.170307,129.12564,3,14,97
174,뮤지엄다,35.171303,129.12901,2,4,47
175,벡스코,35.169247,129.13628,3,4,0
176,부산시립미술관,35.16702,129.1369,3,4,0
177,부산시청자미디어센터,35.17255,129.1302,1,4,37
178,영화의 전당,35.171055,129.12703,2,5,70
179,요트올림픽동산지구,35.1657825586,129.1350266435,3,4,0
180,송도오션파크,35.0727182987,129.017447672,0,48,70
181,송도용궁구름다리,35.06194,129.02191,0,7,3
182,송도해상케이블카,35.07664334,129.0233986,0,45,102
183,송도해수욕장,35.07595,129.01694,0,42,83
184,암남공원/송도해안볼레길,35.058804,129.01566,0,6,2
185,"송정해수욕장, 죽도공원",35.1786,129.19966,0,112,4
186,낙동강하구아미산전망대,35.05276243,128.9607468,1,2,35
187,아미산전망대,35.052727,128.96075,1,2,36
188,스카이워크 시리즈,35.100853,129.1243,0,1,2
189,신선대,35.102272,129.10277,0,0,5
190,오륙도,35.102177,129.12334,0,1,6
191,용호 Sea-Side 관광지,35.101225,129.120361,0,1,6
192,을숙도,35.107143,128.94283,0,0,2
193,을숙도 생태공원,35.11008837,128.9449571095,0,0,2
194,을숙도 철새공원,35.10449092,128.9459791,0,0,2
195,B4291,35.096855,129.03468,3,200,675
196,영도대교,35.09725344,129.035681,3,187,657
197,자갈치시장,35.09661444,129.0305818,3,197,677
198,부산커피박물관,35.15433,129.06453,5,140,205
199,태종대 유원지,35.052643,129.0878,0,0,5
200,해동용궁사,35.188583,129.22346,0,3,35
201,해운대,35.158474,129.15987,1,173,2
202,해운대해수욕장,35.1591069824,129.1602837868,1,174,2
203,황령산 전망쉼터,35.158115,129.08269,0,0,0
204,흰여울문화마을,35.07885,129.04402,0,1,73
205,임랑해수욕장,35.31905,129.26451,0,17,12
206,일광해수욕장,35.260025,129.2336,0,17,80
207,"BIFF광장·용두산공원, 보수동책방골목",35.1,129.03,4,174,758
208,감천문화마을,35.094,129.0,1,21,74
209,광안리 해수욕장,35.151,129.11,2,42,128
210,국립해양박물관,35.078,129.07,0,1,38
211,"다대포 해수욕장(꿈의 낙조분수, 몰운대)",35.041,128.97,0,1,22
212,달맞이고개,35.159,129.18,0,18,2
213,동백섬&누리마루APEC하우스,35.153,129.15,0,32,1
214,렛츠런파크,35.155,128.87,0,1,10
215,마린시티 카페거리,35.154,129.14,1,6,7
216,민락수변공원,35.155,129.13,0,49,69
217,범어사,35.284,129.06,0,0,0
218,부산서면,35.155,129.05,3,117,82
219,부산시민공원,35.168,129.05,0,22,71
220,센텀시티(신세계센텀 등),35.171,129.13,1,4,40
221,송도 해수욕장,35.074,129.01,0,19,52
222,송정 해수욕장,35.177,129.2,0,112,3
223,아미산전망대,35.052,128.96,1,0,32
224,오륙도&이기대 갈맷길,35.114,129.12,0,7,15
225,을숙도,35.102,128.94,0,2,6
226,자갈치·국제시장·부평깡통야시장,35.096,129.03,3,193,686
227,전포카페거리,35.155,129.06,5,162,206
228,태종대,35.057,129.08,0,1,17
229,해동 용궁사,35.188,129.22,0,16,68
230,해운대 해수욕장,35.155,129.16,1,161,1
231,황령산 봉수대,35.158,129.08,0,0,0
232,흰여울문화마을,35.078,129.04,0,0,66
233,임랑 해수욕장,35.317,129.26,0,15,12
234,일광 해수욕장,35.26,129.23,0,12,76
